periode_data,tahun,bulan,kanal_pengaduan,status,jumlah
202302,2023,02,Aduan Kecamatan,Selesai,1
202302,2023,02,Aduan Kelurahan,Disposisi,1
202301,2023,01,Aduan Gubernur,Selesai,54
202301,2023,01,Aduan Kecamatan,Selesai,12
202301,2023,01,Aduan Kelurahan,Disposisi,3
202301,2023,01,Aduan Kelurahan,Selesai,58
202301,2023,01,Aduan Walikota,Selesai,17
202301,2023,01,Aspirasi Publik Media Massa,Selesai,115
202301,2023,01,Email,Diproses,1
202301,2023,01,Email,Selesai,339
202301,2023,01,Facebook,Selesai,44
202301,2023,01,JAKI,Diproses,18
202301,2023,01,JAKI,Disposisi,24
202301,2023,01,JAKI,Selesai,12447
202301,2023,01,Pendopo Balaikota,Disposisi,2
202301,2023,01,Pendopo Balaikota,Selesai,180
202301,2023,01,SMS Center,Diproses,1
202301,2023,01,SMS Center,Selesai,109
202301,2023,01,SP4N Lapor,Selesai,60
202301,2023,01,Twitter,Selesai,452
202302,2023,02,Aduan Inspektorat,Selesai,4
202302,2023,02,Aduan Kelurahan,Selesai,36
202302,2023,02,Aduan Walikota,Disposisi,1
202302,2023,02,Aduan Walikota,Selesai,11
202302,2023,02,Aspirasi Publik Media Massa,Disposisi,1
202302,2023,02,Aspirasi Publik Media Massa,Selesai,85
202302,2023,02,Email,Diproses,1
202302,2023,02,Email,Selesai,342
202302,2023,02,Facebook,Selesai,43
202302,2023,02,Instagram Gubernur,Selesai,1
202302,2023,02,JAKI,Diproses,17
202302,2023,02,JAKI,Disposisi,46
202302,2023,02,JAKI,Selesai,11336
202302,2023,02,Pendopo Balaikota,Diproses,1
202302,2023,02,Pendopo Balaikota,Disposisi,1
202302,2023,02,Pendopo Balaikota,Selesai,155
202302,2023,02,SMS Center,Selesai,143
202302,2023,02,SP4N Lapor,Selesai,60
202302,2023,02,Twitter,Disposisi,2
202302,2023,02,Twitter,Selesai,576
202305,2023,05,Aduan Kecamatan,Selesai,2
202305,2023,05,Aduan Kelurahan,Disposisi,2
202305,2023,05,Aduan Kelurahan,Selesai,13
202305,2023,05,Aduan Walikota,Selesai,6
202305,2023,05,Aspirasi Publik Media Massa,Selesai,71
202305,2023,05,Email,Diproses,1
202305,2023,05,Email,Disposisi,1
202305,2023,05,Email,Selesai,333
202305,2023,05,Facebook,Selesai,40
202305,2023,05,Instagram Gubernur,Selesai,1
202305,2023,05,JAKI,Diproses,35
202305,2023,05,JAKI,Disposisi,54
202305,2023,05,JAKI,Selesai,11547
202307,2023,07,Aduan Inspektorat,Selesai,2
202307,2023,07,Aduan Kecamatan,Selesai,1
202307,2023,07,Aduan Kelurahan,Disposisi,3
202307,2023,07,Aduan Kelurahan,Selesai,21
